up_id,creator_type,followers
C0001,个人,11155
C0002,个人,707
C0003,个人,19606
C0004,个人,4390
C0005,个人,71916
C0006,机构,741
C0007,机构,74439
C0008,机构,552160
C0009,个人,1377752
C0010,个人,1427484
C0011,个人,287628
C0012,个人,432940
C0013,个人,1068182
C0014,个人,1549494
C0015,个人,538
C0016,个人,1063002
C0017,机构,3582
C0018,个人,325439
C0019,个人,147032
C0020,个人,3960
C0021,个人,654983
C0022,机构,133857
C0023,机构,3331
C0024,MCN,51892
C0025,个人,1708770
C0026,个人,331845
C0027,个人,1631442
C0028,机构,1825860
C0029,个人,2358
C0030,个人,823939
C0031,机构,769879
C0032,机构,17989
C0033,个人,1248913
C0034,个人,274089
C0035,个人,574
C0036,个人,352687
C0037,个人,38311
C0038,个人,585692
C0039,个人,990240
C0040,个人,1298955
C0041,个人,584146
C0042,个人,300094
C0043,机构,493236
C0044,个人,602833
C0045,个人,135487
C0046,个人,349306
C0047,个人,1526
C0048,个人,108242
C0049,个人,458915
C0050,个人,9821
C0051,机构,104772
C0052,个人,47926
C0053,个人,1226883
C0054,个人,1043
C0055,机构,415496
C0056,个人,472419
C0057,MCN,10080
C0058,个人,1224913
C0059,个人,20885
C0060,个人,401464
C0061,个人,519983
C0062,个人,705667
C0063,个人,922395
C0064,个人,7785
C0065,MCN,1061741
C0066,个人,733363
C0067,个人,627
C0068,个人,158168
C0069,个人,1551
C0070,个人,1896254
C0071,个人,902
C0072,MCN,93357
C0073,个人,875715
C0074,个人,76203
C0075,个人,154780
C0076,机构,6268
C0077,个人,962
C0078,个人,67268
C0079,个人,208552
C0080,个人,1908431
C0081,机构,1806715
C0082,个人,12111
C0083,个人,1030
C0084,个人,1568209
C0085,个人,406523
C0086,个人,515065
C0087,个人,1097932
C0088,机构,1583412
C0089,个人,20001
C0090,个人,2758
C0091,个人,6747
C0092,个人,4769
C0093,个人,713478
C0094,个人,153764
C0095,机构,124232
C0096,机构,629627
C0097,个人,18462
C0098,个人,68832
C0099,个人,119839
C0100,个人,842920
C0101,个人,306130
C0102,个人,379544
C0103,个人,116662
C0104,个人,681182
C0105,个人,1405781
C0106,个人,855525
C0107,个人,333606
C0108,MCN,882364
C0109,个人,1205521
C0110,个人,307562
C0111,个人,310054
C0112,个人,11821
C0113,MCN,1363487
C0114,MCN,564083
C0115,个人,1735
C0116,个人,953
C0117,个人,147558
C0118,个人,43317
C0119,机构,436320
C0120,个人,1613512
C0121,个人,1581149
C0122,个人,1064946
C0123,个人,1749834
C0124,机构,211675
C0125,个人,174580
C0126,个人,872818
C0127,个人,879710
C0128,MCN,729747
C0129,个人,600515
C0130,个人,1847432
C0131,个人,627279
C0132,个人,392211
C0133,个人,259731
C0134,MCN,4479
C0135,机构,361980
C0136,个人,1861628
C0137,个人,9896
C0138,个人,415567
C0139,个人,52117
C0140,个人,306300
C0141,机构,11289
C0142,个人,729130
C0143,机构,24757
C0144,个人,156810
C0145,个人,381721
C0146,个人,18123
C0147,个人,83503
C0148,个人,445532
C0149,机构,223042
C0150,个人,504
C0151,机构,476319
C0152,个人,150688
C0153,个人,191258
C0154,个人,155438
C0155,个人,529
C0156,个人,281200
C0157,个人,764
C0158,个人,367177
C0159,个人,175669
C0160,个人,689526
C0161,个人,2466
C0162,个人,1179543
C0163,个人,100617
C0164,个人,211357
C0165,个人,219916
C0166,个人,676361
C0167,个人,18792
C0168,个人,1411086
C0169,MCN,2977
C0170,个人,490619
C0171,个人,424125
C0172,个人,141230
C0173,个人,96358
C0174,MCN,1693188
C0175,个人,376324
C0176,个人,1337151
C0177,个人,686396
C0178,机构,58906
C0179,MCN,1111038
C0180,MCN,1231224
