user_id,age,gender,city,register_date,user_level
U00001,21,男,一线城市,2025-05-17,3
U00002,27,女,三线及以下,2024-03-14,6
U00003,55,男,二线城市,2026-09-10,2
U00004,48,男,一线城市,2025-02-22,4
U00005,19,女,一线城市,2026-09-10,3
U00006,27,女,新一线城市,2023-12-20,0
U00007,34,男,一线城市,2025-12-10,4
U00008,20,女,三线及以下,2026-08-25,0
U00009,23,女,三线及以下,2026-09-10,4
U00010,18,男,二线城市,2026-09-10,6
U00011,20,男,一线城市,2026-04-05,2
U00012,37,男,二线城市,2024-09-24,1
U00013,37,男,二线城市,2025-04-01,0
U00014,19,男,新一线城市,2026-04-10,2
U00015,21,女,二线城市,2026-06-18,5
U00016,47,男,新一线城市,2025-05-18,3
U00017,23,女,新一线城市,2025-01-09,4
U00018,30,女,二线城市,2024-09-02,3
U00019,26,男,三线及以下,2026-05-24,0
U00020,33,女,二线城市,2024-02-14,2
U00021,39,男,新一线城市,2025-07-11,2
U00022,25,女,二线城市,2025-05-27,6
U00023,31,女,二线城市,2026-07-22,4
U00024,24,男,三线及以下,2024-05-06,0
U00025,31,男,一线城市,2026-05-22,1
U00026,31,男,二线城市,2025-10-05,3
U00027,23,男,二线城市,2026-09-09,2
U00028,24,男,三线及以下,2025-04-13,5
U00029,34,男,一线城市,2026-09-04,2
U00030,24,男,新一线城市,2026-03-28,6
U00031,19,女,二线城市,2025-12-05,3
U00032,32,男,二线城市,2026-07-11,2
U00033,19,男,二线城市,2025-04-12,2
U00034,33,男,二线城市,2025-03-01,5
U00035,53,男,三线及以下,2025-12-22,5
U00036,23,女,二线城市,2024-06-27,0
U00037,31,男,三线及以下,2026-05-11,2
U00038,20,女,二线城市,2024-02-13,3
U00039,25,男,新一线城市,2026-06-10,2
U00040,18,男,新一线城市,2025-01-22,2
U00041,19,女,新一线城市,2025-05-04,4
U00042,39,男,三线及以下,2026-09-10,4
U00043,28,男,二线城市,2025-11-18,5
U00044,23,男,二线城市,2026-08-22,3
U00045,27,女,二线城市,2023-11-11,6
U00046,27,男,二线城市,2025-10-04,4
U00047,33,男,二线城市,2024-11-25,5
U00048,28,女,一线城市,2026-09-10,6
U00049,28,女,一线城市,2025-07-30,5
U00050,55,男,三线及以下,2025-04-14,4
U00051,37,女,一线城市,2026-07-03,2
U00052,41,男,一线城市,2025-08-06,4
U00053,33,女,二线城市,2025-10-04,3
U00054,28,女,新一线城市,2026-07-02,3
U00055,19,男,一线城市,2025-03-10,1
U00056,55,女,二线城市,2026-05-07,1
U00057,27,男,二线城市,2025-07-29,4
U00058,29,男,新一线城市,2026-08-29,3
U00059,24,女,新一线城市,2024-01-06,1
U00060,25,女,三线及以下,2024-04-25,4
U00061,20,女,新一线城市,2026-02-09,6
U00062,31,女,三线及以下,2026-01-02,5
U00063,31,女,一线城市,2026-03-02,2
U00064,31,男,三线及以下,2025-12-22,6
U00065,38,男,二线城市,2026-08-20,0
U00066,19,男,二线城市,2026-09-08,5
U00067,33,女,一线城市,2025-03-13,6
U00068,31,女,新一线城市,2026-09-06,3
U00069,29,男,三线及以下,2026-01-18,4
U00070,30,女,新一线城市,2025-09-20,4
U00071,28,女,二线城市,2024-11-24,1
U00072,43,女,一线城市,2026-04-20,4
U00073,36,女,新一线城市,2025-11-29,6
U00074,27,女,三线及以下,2024-04-14,3
U00075,42,女,新一线城市,2025-07-25,0
U00076,19,男,新一线城市,2024-06-23,4
U00077,38,女,三线及以下,2026-06-14,1
U00078,27,男,二线城市,2025-01-05,2
U00079,24,男,新一线城市,2024-07-01,5
U00080,18,男,三线及以下,2026-06-11,2
U00081,30,男,三线及以下,2025-12-28,5
U00082,40,男,二线城市,2026-04-23,3
U00083,29,男,一线城市,2024-07-13,4
U00084,38,女,一线城市,2025-08-14,6
U00085,18,女,新一线城市,2026-03-29,3
U00086,18,女,一线城市,2024-06-28,0
U00087,20,女,新一线城市,2024-03-10,1
U00088,23,女,二线城市,2024-06-03,1
U00089,48,女,一线城市,2025-11-13,5
U00090,23,女,二线城市,2026-08-11,2
U00091,42,男,二线城市,2026-08-14,1
U00092,24,女,一线城市,2026-08-29,3
U00093,40,男,三线及以下,2026-04-24,0
U00094,52,女,新一线城市,2026-06-09,1
U00095,41,女,三线及以下,2024-12-21,1
U00096,37,女,三线及以下,2024-01-18,1
U00097,20,女,新一线城市,2025-11-25,2
U00098,28,女,二线城市,2025-01-25,5
U00099,24,女,一线城市,2026-06-21,4
U00100,32,女,三线及以下,2026-09-06,5
U00101,25,女,二线城市,2024-01-09,1
U00102,20,女,三线及以下,2024-08-12,2
U00103,53,男,三线及以下,2026-08-31,4
U00104,29,男,一线城市,2025-12-27,4
U00105,19,女,新一线城市,2025-06-13,2
