video_id,up_id,category,publish_date,duration
V00001,C0162,动画,2026-05-15,1913
V00002,C0026,科技,2026-07-15,1540
V00003,C0078,动画,2026-07-31,1797
V00004,C0142,音乐,2026-08-19,410
V00005,C0143,娱乐,2026-09-03,343
V00006,C0135,影视,2026-07-05,3718
V00007,C0006,动画,2026-05-20,884
V00008,C0083,影视,2026-07-28,3813
V00009,C0158,科技,2026-06-09,1038
V00010,C0026,科技,2026-08-22,825
V00011,C0009,影视,2026-08-24,3026
V00012,C0099,知识,2026-06-17,1836
V00013,C0045,知识,2026-07-02,1804
V00014,C0130,生活,2026-07-20,613
V00015,C0017,娱乐,2026-07-28,194
V00016,C0175,生活,2026-07-09,811
V00017,C0167,生活,2026-08-14,676
V00018,C0082,娱乐,2026-08-21,351
V00019,C0178,音乐,2026-06-21,334
V00020,C0117,动画,2026-09-04,1277
V00021,C0016,影视,2026-07-07,1890
V00022,C0004,生活,2026-06-01,887
V00023,C0078,音乐,2026-06-03,302
V00024,C0141,音乐,2026-08-29,198
V00025,C0070,游戏,2026-07-19,2221
V00026,C0080,动画,2026-05-13,1750
V00027,C0014,知识,2026-08-03,2081
V00028,C0082,影视,2026-09-04,3291
V00029,C0161,知识,2026-08-12,1398
V00030,C0137,游戏,2026-07-20,1257
V00031,C0149,知识,2026-08-04,2660
V00032,C0144,生活,2026-06-24,677
V00033,C0131,知识,2026-06-19,1130
V00034,C0094,动画,2026-06-08,1139
V00035,C0025,科技,2026-08-22,847
V00036,C0022,娱乐,2026-06-11,201
V00037,C0094,生活,2026-08-18,592
V00038,C0084,影视,2026-08-02,3888
V00039,C0022,知识,2026-05-19,2578
V00040,C0076,影视,2026-07-15,3878
V00041,C0010,生活,2026-08-06,724
V00042,C0061,娱乐,2026-08-15,274
V00043,C0047,动画,2026-07-14,1096
V00044,C0015,影视,2026-07-10,2818
V00045,C0138,娱乐,2026-09-01,272
V00046,C0144,动画,2026-07-13,1854
V00047,C0059,动画,2026-05-17,1054
V00048,C0018,游戏,2026-07-10,1417
V00049,C0064,动画,2026-09-05,1418
V00050,C0002,知识,2026-05-14,1511
V00051,C0047,动画,2026-06-16,1521
V00052,C0113,游戏,2026-07-04,1428
V00053,C0127,动画,2026-08-16,1525
V00054,C0020,音乐,2026-07-08,406
V00055,C0001,影视,2026-09-10,2887
V00056,C0080,知识,2026-06-02,1935
V00057,C0138,娱乐,2026-05-28,335
V00058,C0045,生活,2026-08-11,617
V00059,C0121,动画,2026-06-20,1828
V00060,C0076,娱乐,2026-06-24,364
V00061,C0080,动画,2026-05-28,1547
V00062,C0020,音乐,2026-07-13,336
V00063,C0065,娱乐,2026-08-17,207
V00064,C0076,生活,2026-09-05,738
V00065,C0017,影视,2026-07-06,3792
V00066,C0016,生活,2026-05-28,828
V00067,C0120,科技,2026-07-13,823
V00068,C0023,娱乐,2026-06-09,368
V00069,C0169,知识,2026-08-25,1499
V00070,C0050,知识,2026-06-05,1766
V00071,C0077,游戏,2026-07-13,990
V00072,C0164,知识,2026-06-25,2562
V00073,C0135,科技,2026-06-29,1174
V00074,C0080,音乐,2026-09-08,218
V00075,C0092,知识,2026-08-08,1083
V00076,C0080,科技,2026-05-15,1576
V00077,C0013,娱乐,2026-06-30,408
V00078,C0089,知识,2026-05-30,2553
V00079,C0012,音乐,2026-06-14,336
V00080,C0144,音乐,2026-05-30,211
V00081,C0053,生活,2026-06-21,625
V00082,C0139,影视,2026-08-03,2034
V00083,C0061,影视,2026-06-06,2389
V00084,C0006,音乐,2026-06-14,387
V00085,C0017,动画,2026-08-05,1176
V00086,C0109,科技,2026-05-20,791
V00087,C0086,游戏,2026-06-23,1567
V00088,C0079,科技,2026-07-20,1534
V00089,C0115,动画,2026-07-23,1875
V00090,C0010,游戏,2026-07-31,1155
V00091,C0005,生活,2026-05-24,583
V00092,C0073,知识,2026-07-01,2326
V00093,C0087,生活,2026-08-24,581
V00094,C0078,影视,2026-06-30,3067
V00095,C0100,知识,2026-06-02,2115
V00096,C0047,音乐,2026-08-24,241
V00097,C0130,游戏,2026-07-11,974
V00098,C0069,科技,2026-05-30,1643
V00099,C0050,生活,2026-09-05,589
V00100,C0093,娱乐,2026-07-30,417
V00101,C0141,娱乐,2026-08-29,207
V00102,C0034,科技,2026-08-11,1490
V00103,C0083,娱乐,2026-05-30,370
V00104,C0114,游戏,2026-06-18,2163
V00105,C0059,动画,2026-09-05,1912
V00106,C0035,游戏,2026-07-19,1799
V00107,C0038,知识,2026-06-12,1758
V00108,C0059,动画,2026-09-10,1066
V00109,C0056,影视,2026-05-19,2593
V00110,C0161,音乐,2026-06-08,412
V00111,C0083,科技,2026-09-07,1582
V00112,C0100,知识,2026-08-30,1731
